order_id,customer_id,age,account_age_days,customer_segment,country,platform,device_type,payment_method,product_category,avg_order_value_usd,refund_amount_requested_usd,is_high_value_item,discount_used,order_date,return_date,days_to_return,return_reason,total_orders_lifetime,total_returns_lifetime,return_rate_pct,item_returned_opened,return_packaging_intact,photo_evidence_provided,tracking_number_valid,shipping_carrier,address_change_before_delivery,refund_to_different_account,multiple_accounts_flag,customer_support_contacts,previous_dispute_count,wishlist_to_cart_time_hrs,review_left_after_return,abuse_type,abuse_label
ORD2024554,CUST408891,68,1473,New,US,Web Browser,iPhone,Crypto,Toys,258.77,254.92,1,0,2022-12-25,2023-01-09,15,Defective/Broken,80,1,1.2,0,1,1,1,OnTrac,0,0,0,1,0,70.5,0,Legitimate,0
ORD2019797,CUST898762,64,1211,Silver,FR,Tablet App,MacBook,PayPal,Books,93.63,84.11,0,0,2022-08-30,2022-09-29,30,Defective/Broken,54,2,3.7,0,0,0,1,FedEx,0,0,0,0,0,25.3,0,Legitimate,0
ORD2058733,CUST906263,52,1291,Bronze,US,Web Browser,iPad,Crypto,Clothing,95.66,95.58,0,0,2022-10-29,2022-11-12,14,Wrong Item Sent,43,0,0.0,1,1,0,1,FedEx,1,0,0,0,0,36.6,0,Legitimate,0
ORD2015301,CUST601672,63,1743,Bronze,CA,Web Browser,iPhone,PayPal,Home & Kitchen,464.47,447.99,1,1,2022-07-06,2022-07-10,4,Item Not Received,36,25,69.4,0,1,1,1,USPS,1,0,0,3,0,4.4,1,Fraudulent Return,2
ORD2014206,CUST316429,21,2478,Gold,US,Web Browser,Windows PC,Debit Card,Clothing,138.01,112.12,0,0,2023-03-26,2023-03-31,5,Defective/Broken,59,0,0.0,0,0,0,1,OnTrac,0,0,0,1,1,40.9,0,Legitimate,0
ORD2012147,CUST791491,20,698,New,IN,Mobile App,MacBook,Buy Now Pay Later,Clothing,197.73,172.73,0,0,2023-07-26,2023-08-23,28,Too Small,34,3,8.8,1,0,0,1,FedEx,0,0,0,1,1,63.3,0,Legitimate,0
ORD2041328,CUST403545,56,1773,Gold,US,Tablet App,Android,Credit Card,Electronics,187.63,178.17,0,0,2022-01-07,2022-01-26,19,Found Better Price,69,29,42.0,1,0,0,1,UPS,0,0,0,4,2,31.2,0,Policy Abuser,1
ORD2039097,CUST424966,59,2184,Gold,DE,Web Browser,iPhone,Buy Now Pay Later,Clothing,105.52,84.92,0,0,2022-07-10,2022-07-17,7,Wrong Item Sent,26,1,3.8,0,1,0,1,OnTrac,0,0,0,1,1,70.9,1,Legitimate,0
ORD2052018,CUST996046,38,1172,New,DE,Mobile App,MacBook,Debit Card,Clothing,67.76,58.64,0,1,2023-08-21,2023-09-20,30,Wrong Item Sent,44,4,9.1,0,1,0,1,OnTrac,0,0,0,1,0,42.6,0,Legitimate,0
ORD2014522,CUST338228,68,545,Silver,US,Tablet App,Windows PC,Gift Card,Books,676.19,679.61,1,0,2022-01-20,2022-01-23,3,Item Not Received,5,1,20.0,1,1,1,0,DHL,1,0,1,5,4,4.1,0,Fraudulent Return,2
ORD2007660,CUST758695,59,2385,Platinum,GB,Web Browser,Windows PC,Buy Now Pay Later,Shoes,703.76,682.47,1,0,2022-10-15,2022-10-20,5,Quality Issue,48,14,29.2,1,1,1,0,USPS,1,0,0,4,4,3.4,0,Fraudulent Return,2
ORD2010215,CUST101788,68,43,Silver,DE,Tablet App,iPhone,Credit Card,Clothing,159.21,151.04,0,0,2023-05-27,2023-06-12,16,Defective/Broken,74,4,5.4,1,1,1,1,OnTrac,0,0,0,0,1,47.9,0,Legitimate,0
ORD2039961,CUST830847,49,2397,Bronze,GB,Web Browser,iPhone,Gift Card,Shoes,207.82,194.41,1,1,2022-08-28,2022-09-09,12,Wrong Item Sent,6,0,0.0,1,1,0,1,USPS,0,0,0,1,1,24.0,0,Legitimate,0
ORD2059012,CUST162858,44,692,Gold,US,Tablet App,iPhone,Debit Card,Beauty,233.3,193.96,1,0,2023-02-22,2023-03-15,21,Too Large,6,0,0.0,1,1,0,1,UPS,0,0,0,0,1,41.5,0,Legitimate,0
ORD2026364,CUST772801,70,215,Bronze,US,Tablet App,iPhone,Credit Card,Electronics,153.16,136.89,0,0,2023-10-20,2023-11-10,21,Not As Described,61,1,1.6,1,1,1,1,USPS,0,0,0,1,0,29.0,0,Legitimate,0
ORD2011710,CUST773225,69,1486,Bronze,IN,Tablet App,Android,Gift Card,Clothing,253.05,233.52,1,0,2023-02-07,2023-02-16,9,Item Not Received,10,0,0.0,0,0,1,1,UPS,0,0,0,1,1,2.7,1,Legitimate,0
ORD2007626,CUST481114,62,1034,Gold,IN,Tablet App,Windows PC,Credit Card,Furniture,53.65,49.39,0,0,2022-03-17,2022-04-16,30,Gift Duplicate,67,6,9.0,1,0,1,1,UPS,0,0,0,1,1,27.4,0,Legitimate,0
ORD2018204,CUST368533,28,596,Bronze,CA,Tablet App,iPhone,Credit Card,Sports,55.73,48.49,0,0,2022-01-05,2022-01-28,23,Wrong Item Sent,38,3,7.9,0,1,1,1,DHL,0,0,0,0,1,21.3,0,Legitimate,0
ORD2025877,CUST501809,54,867,Bronze,US,Tablet App,Android,Credit Card,Furniture,23.44,20.12,0,1,2023-08-09,2023-08-28,19,Changed Mind,63,8,12.7,1,1,1,1,DHL,0,0,0,0,0,65.1,0,Legitimate,0
ORD2055537,CUST336374,48,1984,Silver,FR,Tablet App,Android,Gift Card,Shoes,612.76,615.28,1,0,2023-07-02,2023-07-04,2,Too Small,13,4,30.8,0,0,1,1,UPS,0,1,0,1,0,3.0,0,Fraudulent Return,2
ORD2033019,CUST552485,41,703,Silver,US,Tablet App,iPhone,Credit Card,Clothing,163.27,143.82,0,0,2023-12-02,2023-12-14,12,Too Large,13,1,7.7,0,1,0,1,OnTrac,0,0,0,1,0,11.6,0,Legitimate,0
ORD2012431,CUST235870,27,215,Silver,FR,Web Browser,Windows PC,Credit Card,Tools,40.94,40.37,0,0,2023-02-18,2023-03-05,15,Too Small,70,1,1.4,1,1,0,1,DHL,0,0,0,1,0,11.0,0,Legitimate,0
ORD2047669,CUST874135,52,2402,Silver,US,Mobile App,Windows PC,PayPal,Electronics,291.92,258.04,1,0,2023-04-24,2023-05-05,11,Quality Issue,37,2,5.4,0,1,0,1,USPS,0,0,0,0,1,13.4,0,Legitimate,0
ORD2052467,CUST156347,31,1010,Silver,IN,Tablet App,iPhone,Gift Card,Beauty,131.51,107.37,0,1,2022-05-26,2022-06-22,27,Wrong Item Sent,73,7,9.6,0,1,1,1,DHL,0,0,0,0,1,7.6,0,Legitimate,0
ORD2045078,CUST236371,56,542,Bronze,US,Mobile App,MacBook,Credit Card,Sports,100.01,92.58,0,1,2022-04-04,2022-04-11,7,Wrong Item Sent,31,3,9.7,0,0,1,1,OnTrac,0,0,0,0,0,49.9,0,Legitimate,0
ORD2041313,CUST386129,58,805,Silver,GB,Mobile App,Windows PC,Credit Card,Tools,117.97,116.4,0,0,2022-10-17,2022-11-04,18,Changed Mind,104,48,46.2,0,0,0,1,FedEx,0,0,0,2,3,64.8,0,Policy Abuser,1
ORD2045340,CUST105585,64,581,New,AU,Tablet App,iPhone,Buy Now Pay Later,Shoes,103.65,98.43,0,0,2023-05-01,2023-06-05,35,Not As Described,60,27,45.0,1,1,1,1,USPS,0,0,0,6,0,0.2,0,Wardrobing,3
ORD2038130,CUST770433,48,1797,Gold,CA,Web Browser,iPhone,PayPal,Home & Kitchen,101.44,91.78,0,1,2022-10-30,2022-11-15,16,Too Large,29,16,55.2,0,0,0,1,FedEx,0,0,0,1,0,6.1,0,Policy Abuser,1
ORD2011313,CUST520579,67,1662,New,US,Mobile App,iPad,PayPal,Furniture,237.68,212.26,1,0,2022-06-05,2022-06-25,20,Gift Duplicate,79,5,6.3,1,1,0,1,DHL,0,0,0,1,0,42.9,0,Legitimate,0
ORD2028324,CUST840819,67,603,Bronze,US,Tablet App,Android,Buy Now Pay Later,Clothing,334.58,333.33,1,0,2023-02-17,2023-04-05,47,Changed Mind,39,17,43.6,1,1,0,1,UPS,1,0,0,4,0,1.1,0,Wardrobing,3
ORD2002571,CUST532425,32,169,Bronze,GB,Mobile App,iPhone,Debit Card,Clothing,69.56,67.47,0,0,2022-12-07,2023-01-05,29,Quality Issue,61,8,13.1,0,1,1,1,DHL,0,0,0,1,1,20.5,0,Legitimate,0
ORD2006247,CUST571606,28,1368,Silver,DE,Mobile App,iPhone,Credit Card,Beauty,90.85,82.77,0,0,2022-11-04,2022-11-29,25,Arrived Late,35,0,0.0,0,1,1,1,OnTrac,0,0,0,0,0,66.3,1,Legitimate,0
ORD2039806,CUST623703,69,665,Silver,US,Web Browser,Windows PC,Gift Card,Beauty,260.62,241.32,1,0,2023-08-09,2023-09-08,30,Too Small,58,3,5.2,0,1,0,1,DHL,0,0,0,0,0,53.1,0,Legitimate,0
ORD2005418,CUST544140,31,1046,Bronze,US,Tablet App,iPhone,Credit Card,Sports,173.99,161.11,0,0,2023-10-27,2023-12-07,41,Arrived Late,60,23,38.3,1,1,0,1,OnTrac,0,0,0,4,5,4.0,0,Wardrobing,3
ORD2006653,CUST626718,31,306,New,IN,Tablet App,Android,Buy Now Pay Later,Tools,110.67,96.81,0,0,2022-03-31,2022-04-09,9,Not As Described,14,0,0.0,0,1,0,1,USPS,1,0,0,0,0,44.0,0,Legitimate,0
ORD2034442,CUST559587,39,1163,New,AU,Tablet App,iPad,Credit Card,Books,50.04,49.51,0,0,2022-09-14,2022-10-07,23,Defective/Broken,49,3,6.1,0,1,1,1,OnTrac,0,0,0,1,0,68.4,0,Legitimate,0
ORD2048841,CUST358155,57,1981,Silver,US,Tablet App,Android,Credit Card,Furniture,253.29,251.81,1,0,2023-07-19,2023-07-29,10,Changed Mind,21,2,9.5,0,1,0,1,DHL,0,0,0,1,0,20.0,0,Legitimate,0
ORD2023908,CUST552499,44,1654,Bronze,US,Web Browser,iPad,PayPal,Electronics,155.97,145.39,0,0,2022-05-21,2022-05-25,4,Wrong Item Sent,13,0,0.0,1,1,0,1,FedEx,0,0,0,1,0,28.2,1,Legitimate,0
ORD2051512,CUST886321,63,2288,New,IN,Web Browser,MacBook,PayPal,Toys,148.89,120.31,0,0,2022-07-31,2022-08-26,26,Defective/Broken,3,0,0.0,0,1,1,1,DHL,0,0,0,0,1,26.5,0,Legitimate,0
ORD2028294,CUST229513,64,791,New,IN,Mobile App,Android,PayPal,Clothing,154.28,147.32,0,0,2023-01-12,2023-01-26,14,Defective/Broken,4,0,0.0,1,1,1,1,FedEx,0,0,0,0,1,9.9,0,Legitimate,0
ORD2051888,CUST270483,61,1038,Silver,US,Mobile App,Android,Credit Card,Books,212.79,200.95,1,0,2022-04-01,2022-04-29,28,Too Large,80,9,11.2,0,1,0,1,UPS,0,0,0,1,1,17.1,0,Legitimate,0
ORD2059381,CUST587576,43,1016,Bronze,AU,Mobile App,Android,Debit Card,Toys,151.99,141.14,0,0,2023-01-28,2023-02-04,7,Too Small,56,5,8.9,0,1,0,1,DHL,0,0,0,0,1,25.9,1,Legitimate,0
ORD2003955,CUST543251,22,1773,Platinum,US,Mobile App,Android,Buy Now Pay Later,Electronics,81.35,74.42,0,0,2023-11-15,2023-12-09,24,Item Not Received,34,14,41.2,1,1,0,1,USPS,0,0,0,1,3,22.6,0,Policy Abuser,1
ORD2001385,CUST785341,25,2336,Silver,US,Web Browser,MacBook,Debit Card,Beauty,558.13,575.14,1,0,2022-03-31,2022-04-03,3,Item Not Received,5,2,40.0,0,0,1,0,DHL,0,0,0,3,5,1.4,0,Fraudulent Return,2
ORD2056877,CUST542581,28,1755,Gold,DE,Mobile App,iPad,Credit Card,Clothing,179.52,173.99,0,0,2022-01-25,2022-02-06,12,Not As Described,23,0,0.0,1,1,0,1,FedEx,0,0,0,1,0,20.0,0,Legitimate,0
ORD2017603,CUST558783,52,1786,Bronze,DE,Tablet App,iPhone,Credit Card,Home & Kitchen,27.79,27.56,0,0,2022-02-01,2022-02-19,18,Quality Issue,61,1,1.6,0,1,0,1,DHL,0,0,0,0,0,19.0,0,Legitimate,0
ORD2046113,CUST431343,52,381,New,GB,Mobile App,Windows PC,Credit Card,Shoes,235.33,224.91,1,0,2023-06-08,2023-07-24,46,Gift Duplicate,11,3,27.3,1,1,0,1,UPS,0,0,0,4,4,4.0,0,Wardrobing,3
ORD2034854,CUST950702,53,2341,New,US,Tablet App,Android,Credit Card,Shoes,56.83,47.3,0,0,2022-06-25,2022-07-04,9,Item Not Received,66,5,7.6,0,1,1,1,FedEx,0,0,0,1,1,19.6,1,Legitimate,0
ORD2046918,CUST403286,48,1250,Silver,BR,Web Browser,Android,Credit Card,Clothing,86.1,83.06,0,1,2022-01-30,2022-02-01,2,Found Better Price,6,0,0.0,0,1,0,1,DHL,0,0,0,1,0,23.3,0,Legitimate,0
ORD2001546,CUST935738,48,2215,Bronze,GB,Mobile App,iPad,Buy Now Pay Later,Books,164.67,148.66,0,0,2022-10-23,2022-11-18,26,Too Small,52,2,3.8,1,1,1,1,FedEx,0,0,0,0,1,69.4,0,Legitimate,0
ORD2031021,CUST420394,18,772,Gold,US,Web Browser,iPhone,PayPal,Clothing,54.42,51.74,0,0,2023-07-20,2023-08-07,18,Defective/Broken,45,4,8.9,0,1,1,1,UPS,0,0,0,1,0,40.2,1,Legitimate,0
ORD2009763,CUST925606,62,2490,Platinum,AU,Mobile App,iPad,Credit Card,Clothing,191.01,164.55,0,0,2023-01-05,2023-01-12,7,Defective/Broken,18,2,11.1,0,1,0,1,DHL,0,0,0,0,1,55.5,1,Legitimate,0
ORD2009414,CUST507911,31,1291,Platinum,US,Mobile App,iPhone,Debit Card,Clothing,201.14,181.18,1,0,2023-08-06,2023-08-29,23,Defective/Broken,24,3,12.5,1,1,0,1,OnTrac,0,0,0,1,0,24.1,0,Legitimate,0
ORD2040450,CUST225057,21,1107,Silver,US,Web Browser,iPhone,PayPal,Clothing,62.73,54.01,0,0,2022-05-08,2022-06-03,26,Changed Mind,43,4,9.3,1,0,1,1,FedEx,0,0,0,1,1,56.0,1,Legitimate,0
ORD2050718,CUST944609,60,1709,Silver,US,Web Browser,MacBook,Credit Card,Electronics,112.68,111.53,0,0,2023-04-13,2023-04-26,13,Arrived Late,36,1,2.8,0,1,0,1,DHL,1,0,0,0,1,49.7,1,Legitimate,0
ORD2008684,CUST657509,20,1834,Platinum,US,Tablet App,iPhone,PayPal,Tools,476.68,444.95,1,0,2022-04-04,2022-05-24,50,Too Small,57,22,38.6,1,1,0,1,USPS,0,0,0,4,2,3.8,0,Wardrobing,3
ORD2000351,CUST875596,54,149,Bronze,US,Mobile App,MacBook,PayPal,Sports,148.69,123.45,0,1,2023-07-19,2023-08-06,18,Defective/Broken,42,5,11.9,1,1,0,1,DHL,0,0,0,1,1,52.7,0,Legitimate,0
ORD2056048,CUST335198,65,526,Bronze,US,Mobile App,Windows PC,PayPal,Shoes,141.43,128.03,0,1,2023-07-04,2023-07-25,21,Changed Mind,119,73,61.3,1,1,0,1,UPS,0,0,0,3,0,51.1,0,Policy Abuser,1
ORD2051928,CUST677974,65,2405,New,FR,Web Browser,MacBook,PayPal,Electronics,269.49,255.54,1,0,2022-03-01,2022-03-05,4,Not As Described,77,5,6.5,0,1,0,1,USPS,0,0,0,1,0,69.4,0,Legitimate,0
ORD2023220,CUST800587,50,27,Bronze,CA,Web Browser,MacBook,Buy Now Pay Later,Beauty,163.14,148.68,0,1,2022-06-21,2022-06-25,4,Too Small,38,1,2.6,0,1,0,1,DHL,0,0,0,0,0,5.6,0,Legitimate,0
ORD2038599,CUST896346,41,2320,New,FR,Mobile App,iPhone,Credit Card,Toys,396.45,414.63,1,0,2023-02-15,2023-02-16,1,Found Better Price,35,11,31.4,0,1,1,0,USPS,0,1,0,4,1,1.6,0,Fraudulent Return,2
ORD2000048,CUST842119,21,2024,New,US,Tablet App,iPad,Debit Card,Shoes,279.46,232.84,1,0,2022-01-04,2022-02-01,28,Defective/Broken,19,1,5.3,0,1,1,1,FedEx,0,0,0,1,1,53.7,1,Legitimate,0
ORD2016078,CUST391359,44,888,Gold,BR,Web Browser,Windows PC,PayPal,Books,379.06,356.86,1,0,2022-09-14,2022-10-10,26,Gift Duplicate,41,17,41.5,1,1,0,1,USPS,0,0,0,3,1,0.7,0,Wardrobing,3
ORD2009259,CUST180250,30,434,New,US,Tablet App,MacBook,Credit Card,Toys,16.48,13.87,0,0,2022-05-20,2022-06-04,15,Wrong Item Sent,45,5,11.1,0,1,0,1,USPS,0,0,0,1,1,70.5,0,Legitimate,0
ORD2007439,CUST773506,51,2362,New,FR,Web Browser,iPhone,Buy Now Pay Later,Sports,222.74,217.59,1,1,2023-02-28,2023-03-13,13,Too Small,16,1,6.2,1,1,0,1,UPS,0,0,0,1,1,24.8,0,Legitimate,0
ORD2030005,CUST128295,65,1771,Silver,AU,Mobile App,iPad,Gift Card,Home & Kitchen,64.18,60.6,0,0,2023-07-27,2023-08-05,9,Gift Duplicate,47,0,0.0,0,1,1,1,UPS,0,0,0,0,1,11.2,0,Legitimate,0
ORD2011261,CUST485554,61,2123,Bronze,FR,Tablet App,MacBook,Credit Card,Furniture,21.65,18.59,0,0,2022-03-23,2022-04-08,16,Not As Described,55,6,10.9,0,1,0,1,FedEx,0,0,0,1,1,17.8,1,Legitimate,0
ORD2056073,CUST799632,33,56,Silver,US,Tablet App,MacBook,Buy Now Pay Later,Beauty,94.51,81.46,0,1,2022-10-04,2022-10-19,15,Quality Issue,21,2,9.5,1,1,1,1,FedEx,0,0,0,1,0,11.2,1,Legitimate,0
ORD2001410,CUST712812,35,850,Silver,US,Web Browser,Android,Debit Card,Shoes,52.71,51.17,0,0,2022-04-26,2022-05-20,24,Found Better Price,41,4,9.8,0,0,0,1,DHL,0,0,0,1,0,34.0,0,Legitimate,0
ORD2004130,CUST798471,40,1556,Platinum,GB,Web Browser,MacBook,Buy Now Pay Later,Home & Kitchen,44.02,36.89,0,1,2022-11-19,2022-12-19,30,Defective/Broken,46,5,10.9,0,1,0,1,UPS,0,0,0,1,1,54.8,1,Legitimate,0
ORD2006089,CUST855992,36,1221,Bronze,AU,Mobile App,iPad,PayPal,Electronics,177.23,142.85,0,0,2023-05-30,2023-06-25,26,Changed Mind,8,1,12.5,0,1,0,1,OnTrac,0,0,0,1,0,18.7,0,Legitimate,0
ORD2009082,CUST177438,60,1429,Bronze,CA,Mobile App,Windows PC,PayPal,Toys,204.11,164.17,1,0,2022-10-14,2022-10-28,14,Not As Described,39,3,7.7,1,1,1,1,UPS,0,0,0,1,1,43.0,0,Legitimate,0
ORD2040647,CUST395141,34,327,Silver,US,Tablet App,iPad,Debit Card,Shoes,41.72,41.43,0,1,2023-04-08,2023-04-18,10,Defective/Broken,12,7,58.3,1,1,0,1,DHL,0,0,0,6,4,58.4,0,Policy Abuser,1
ORD2023971,CUST996835,70,1239,Silver,IN,Web Browser,iPad,Buy Now Pay Later,Home & Kitchen,289.53,285.1,1,1,2023-07-05,2023-07-07,2,Defective/Broken,44,28,63.6,0,0,1,1,FedEx,0,0,0,3,4,4.6,0,Fraudulent Return,2
ORD2021181,CUST974613,19,1820,Bronze,US,Web Browser,Android,Buy Now Pay Later,Electronics,197.49,187.54,0,1,2022-10-03,2022-10-18,15,Too Large,9,0,0.0,1,1,0,1,USPS,0,0,0,0,0,32.6,1,Legitimate,0
ORD2048111,CUST374528,70,2344,Bronze,DE,Tablet App,Android,Buy Now Pay Later,Home & Kitchen,225.85,205.1,1,0,2023-04-23,2023-05-22,29,Defective/Broken,31,0,0.0,1,1,0,1,USPS,0,0,0,0,0,7.0,0,Legitimate,0
ORD2049298,CUST491322,53,976,Silver,US,Mobile App,Windows PC,Debit Card,Clothing,61.79,59.32,0,0,2023-01-23,2023-02-20,28,Too Large,19,11,57.9,1,1,0,1,OnTrac,0,0,1,1,0,45.1,0,Policy Abuser,1
ORD2059405,CUST200128,23,1823,Gold,BR,Mobile App,MacBook,Debit Card,Sports,136.74,135.38,0,0,2023-01-13,2023-01-22,9,Too Large,46,5,10.9,1,1,0,1,USPS,0,0,0,0,0,4.0,0,Legitimate,0
ORD2044546,CUST243961,60,982,New,US,Mobile App,MacBook,Credit Card,Jewelry,69.85,69.67,0,0,2022-05-29,2022-06-04,6,Not As Described,79,66,83.5,0,1,0,1,OnTrac,0,0,1,4,4,38.7,0,Policy Abuser,1
ORD2023378,CUST297931,30,643,Gold,US,Web Browser,MacBook,Debit Card,Home & Kitchen,229.58,222.33,1,1,2022-08-20,2022-08-25,5,Arrived Late,2,0,0.0,0,0,0,1,OnTrac,0,0,0,0,1,66.0,1,Legitimate,0
ORD2012775,CUST123179,49,643,Bronze,US,Web Browser,iPad,Debit Card,Sports,171.14,155.48,0,0,2022-12-06,2023-01-05,30,Accidental Order,60,3,5.0,0,0,1,1,USPS,0,0,0,0,0,71.4,0,Legitimate,0
